Luxembourg, Death rates (period 1x10), 	Last modified: 06 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2000-2009       42             0.001000        0.001991        0.001506
2000-2009       43             0.001388        0.002098        0.001750
2000-2009       44             0.001251        0.002560        0.001918
2000-2009       45             0.001363        0.002675        0.002032
2000-2009       46             0.001395        0.002673        0.002045
2000-2009       47             0.001923        0.002963        0.002451
2000-2009       48             0.001892        0.003999        0.002964
2000-2009       49             0.002323        0.003573        0.002960
2000-2009       50             0.002608        0.004604        0.003627
2000-2009       51             0.002551        0.004910        0.003757
2000-2009       52             0.002894        0.005794        0.004376
2000-2009       53             0.003810        0.005149        0.004496
2000-2009       54             0.003154        0.006027        0.004627
2000-2009       55             0.003494        0.006365        0.004965
2000-2009       56             0.004573        0.007931        0.006298
2000-2009       57             0.004824        0.008323        0.006620
2000-2009       58             0.005535        0.008856        0.007229
2000-2009       59             0.005128        0.009414        0.007304
2000-2009       60             0.004922        0.011368        0.008176
2000-2009       61             0.006435        0.011413        0.008922
2000-2009       62             0.006439        0.013334        0.009857
2000-2009       63             0.008098        0.015030        0.011506
2000-2009       64             0.007971        0.016384        0.012068
2000-2009       65             0.008195        0.015952        0.011932
2000-2009       66             0.010023        0.019267        0.014425
2000-2009       67             0.010801        0.020215        0.015251
2000-2009       68             0.011216        0.022924        0.016699
2000-2009       69             0.011754        0.025734        0.018250
2000-2009       70             0.014079        0.025112        0.019162
2000-2009       71             0.014881        0.030440        0.021996
2000-2009       72             0.018836        0.035007        0.026169
2000-2009       73             0.018948        0.034894        0.026046
2000-2009       74             0.022852        0.041667        0.031043
2000-2009       75             0.025191        0.043073        0.032785
2000-2009       76             0.028575        0.048128        0.036651
2000-2009       77             0.032549        0.051624        0.040176
2000-2009       78             0.037618        0.061348        0.046785
2000-2009       79             0.041494        0.067515        0.051170
2000-2009       80             0.046164        0.071819        0.055344
2000-2009       81             0.055316        0.079453        0.063617
2000-2009       82             0.065106        0.098560        0.076179
2000-2009       83             0.072097        0.106380        0.083005
2000-2009       84             0.078154        0.122421        0.091748
2000-2009       85             0.089976        0.139376        0.104619
2000-2009       86             0.106772        0.144078        0.117484
2000-2009       87             0.119465        0.177150        0.135638
2000-2009       88             0.140854        0.197405        0.155992
2000-2009       89             0.161122        0.201126        0.171401
2000-2009       90             0.187730        0.249737        0.203038
2000-2009       91             0.183940        0.268228        0.203691
2000-2009       92             0.193334        0.292343        0.215079
2000-2009       93             0.233682        0.300183        0.247501
2000-2009       94             0.235073        0.330771        0.254099
2000-2009       95             0.292991        0.315805        0.297362
2000-2009       96             0.315907        0.445954        0.340494
2000-2009       97             0.366887        0.478004        0.386693
2000-2009       98             0.418410        0.303584        0.398383
2000-2009       99             0.446508        0.387061        0.435364
2000-2009      100             0.442859        0.513474        0.456714
2000-2009      101             0.449017        0.287843        0.415760
2000-2009      102             0.522664        0.509349        0.519577
2000-2009      103             0.720546        0.854883        0.743927
2000-2009      104             0.648334        0.000000        0.585110
2000-2009      105             0.546385        0.000000        0.429146
2000-2009      106             0.850494        0.000000        0.591735
2000-2009      107             5.688680              .        5.688680
2000-2009      108                   .              .              .
2000-2009      109                   .              .              .
2000-2009      110+                  .              .              .
2010-2019        0             0.002742        0.004358        0.003569
2010-2019        1             0.000165        0.000252        0.000210
2010-2019        2             0.000130        0.000155        0.000143
