Spain, Death rates (period 5x10), 	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1980-1989    105-109           0.532923        0.459885        0.516664
1980-1989    110+              0.670588        0.774194        0.686567
1990-1999        0             0.005386        0.006601        0.006013
1990-1999      1-4             0.000324        0.000381        0.000353
1990-1999      5-9             0.000154        0.000210        0.000183
1990-1999     10-14            0.000158        0.000234        0.000197
1990-1999     15-19            0.000271        0.000694        0.000488
1990-1999     20-24            0.000336        0.001120        0.000737
1990-1999     25-29            0.000483        0.001537        0.001019
1990-1999     30-34            0.000630        0.001989        0.001315
1990-1999     35-39            0.000774        0.002095        0.001436
1990-1999     40-44            0.001109        0.002608        0.001857
1990-1999     45-49            0.001593        0.003892        0.002736
1990-1999     50-54            0.002378        0.005883        0.004105
1990-1999     55-59            0.003597        0.009239        0.006336
1990-1999     60-64            0.005639        0.014299        0.009767
1990-1999     65-69            0.009377        0.022494        0.015446
1990-1999     70-74            0.017080        0.036032        0.025345
1990-1999     75-79            0.033377        0.059334        0.043669
1990-1999     80-84            0.064461        0.097627        0.076218
1990-1999     85-89            0.119813        0.157738        0.131871
1990-1999     90-94            0.205957        0.245549        0.216998
1990-1999     95-99            0.319229        0.364099        0.330050
1990-1999    100-104           0.453148        0.510470        0.464759
1990-1999    105-109           0.554877        0.630631        0.568347
1990-1999    110+              2.314286        2.285714        2.307692
2000-2009        0             0.003381        0.004085        0.003743
2000-2009      1-4             0.000194        0.000231        0.000213
2000-2009      5-9             0.000095        0.000134        0.000115
2000-2009     10-14            0.000110        0.000161        0.000136
2000-2009     15-19            0.000207        0.000515        0.000365
2000-2009     20-24            0.000230        0.000696        0.000468
2000-2009     25-29            0.000258        0.000740        0.000506
2000-2009     30-34            0.000373        0.000938        0.000664
2000-2009     35-39            0.000609        0.001388        0.001007
2000-2009     40-44            0.000957        0.002104        0.001536
2000-2009     45-49            0.001485        0.003274        0.002379
2000-2009     50-54            0.002110        0.005133        0.003609
2000-2009     55-59            0.002953        0.007741        0.005300
2000-2009     60-64            0.004423        0.011703        0.007930
2000-2009     65-69            0.007363        0.018289        0.012488
2000-2009     70-74            0.013291        0.029263        0.020479
2000-2009     75-79            0.025807        0.049127        0.035630
2000-2009     80-84            0.052272        0.083881        0.064119
2000-2009     85-89            0.103822        0.142107        0.116018
2000-2009     90-94            0.188124        0.232626        0.200170
2000-2009     95-99            0.297906        0.351426        0.310228
2000-2009    100-104           0.440029        0.494922        0.450553
2000-2009    105-109           0.597224        0.666783        0.608811
2000-2009    110+              0.723529        0.646154        0.711111
2010-2019        0             0.002579        0.002996        0.002794
2010-2019      1-4             0.000129        0.000151        0.000141
2010-2019      5-9             0.000067        0.000085        0.000076
2010-2019     10-14            0.000077        0.000095        0.000087
2010-2019     15-19            0.000124        0.000232        0.000179
2010-2019     20-24            0.000150        0.000362        0.000258
2010-2019     25-29            0.000181        0.000421        0.000302
2010-2019     30-34            0.000252        0.000538        0.000397
2010-2019     35-39            0.000413        0.000735        0.000577
2010-2019     40-44            0.000697        0.001234        0.000970
2010-2019     45-49            0.001202        0.002274        0.001743
2010-2019     50-54            0.001935        0.003992        0.002960
2010-2019     55-59            0.002889        0.006392        0.004614
2010-2019     60-64            0.004092        0.009848        0.006886
2010-2019     65-69            0.006029        0.014714        0.010163
2010-2019     70-74            0.010109        0.022866        0.015992
2010-2019     75-79            0.019809        0.038364        0.027900
2010-2019     80-84            0.041555        0.067717        0.052047
2010-2019     85-89            0.086216        0.120311        0.098277
2010-2019     90-94            0.165030        0.207673        0.177512
2010-2019     95-99            0.276840        0.329694        0.288921
2010-2019    100-104           0.415880        0.490998        0.428760
2010-2019    105-109           0.591108        0.679926        0.602689
2010-2019    110+              0.887756        0.619293        0.843175
